feature_view,feature_view_label,channel,contrast,n_a,n_b,mean_a,mean_b,delta_mean_a_minus_b,mannwhitney_p_value,mannwhitney_q_value_bh_within_view_contrast
qc_cellular_tissue,QC cellular tissue,PD-1,low_all_vs_zero_ISH_negative,57,18,0.1110239111866425,0.16406032445784105,-0.053036413271198554,0.005560993380203233,0.0239992127799718
qc_cellular_tissue,QC cellular tissue,PD-1,low_all_vs_zero_ISH_not_evaluated,57,43,0.1110239111866425,0.1502828413929306,-0.03925893020628811,0.0025722133207333243,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,PD-1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.11154765788117402,0.1502828413929306,-0.03873518351175659,0.00647774597170541,0.014620132112963672
qc_cellular_tissue,QC cellular tissue,PD-1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.11019067780897872,0.16406032445784105,-0.05386964664886233,0.021604647881615015,0.04980976587890293
qc_cellular_tissue,QC cellular tissue,CD11c,low_IHC1_any_ISH_vs_zero_all,35,61,0.011020783251529173,0.014264384778073584,-0.003243601526544411,0.004309835588619242,0.0058856660774556585
qc_cellular_tissue,QC cellular tissue,CD11c,low_IHC2_ISH_negative_vs_zero_all,22,61,0.010577018542843465,0.014264384778073584,-0.0036873662352301193,0.0189134449861558,0.0378268899723116
qc_cellular_tissue,QC cellular tissue,CD11c,low_all_vs_zero_ISH_negative,57,18,0.010849505644668023,0.014187456532439928,-0.0033379508877719056,0.010415782778127517,0.02777542074167338
qc_cellular_tissue,QC cellular tissue,CD11c,low_all_vs_zero_ISH_not_evaluated,57,43,0.010849505644668023,0.014296587299501626,-0.0034470816548336034,0.005831544047897654,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,CD11c,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.011020783251529173,0.014296587299501626,-0.0032758040479724526,0.011681021697533977,0.01744647173309849
qc_cellular_tissue,QC cellular tissue,CD11c,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.010577018542843465,0.014187456532439928,-0.003610437989596463,0.024904882939451464,0.04980976587890293
qc_cellular_tissue,QC cellular tissue,CD4,low_IHC1_any_ISH_vs_zero_all,35,61,0.0518909917942399,0.08056938389311973,-0.028678392098879825,0.0021029244599983653,0.005280464001591699
qc_cellular_tissue,QC cellular tissue,CD4,low_IHC2_ISH_negative_vs_zero_all,22,61,0.054643760847482944,0.08056938389311973,-0.02592562304563678,0.06111986817752473,0.08149315757003298
qc_cellular_tissue,QC cellular tissue,CD4,low_all_vs_zero_ISH_negative,57,18,0.05295346406040388,0.08815069125691745,-0.03519722719651357,0.02357520724831237,0.031433609664416495
qc_cellular_tissue,QC cellular tissue,CD4,low_all_vs_zero_ISH_not_evaluated,57,43,0.05295346406040388,0.07739581336873932,-0.024442349308335443,0.005018517789120083,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,CD4,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.0518909917942399,0.07739581336873932,-0.025504821574499424,0.004908449204497327,0.014620132112963672
qc_cellular_tissue,QC cellular tissue,CD4,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.054643760847482944,0.08815069125691745,-0.033506930409434504,0.1117441747835024,0.14899223304466988
qc_cellular_tissue,QC cellular tissue,CD3,low_IHC1_any_ISH_vs_zero_all,35,61,0.05663891866891332,0.08586356958956173,-0.029224650920648416,0.0026402320007958497,0.005280464001591699
qc_cellular_tissue,QC cellular tissue,CD3,low_IHC2_ISH_negative_vs_zero_all,22,61,0.05974310046036635,0.08586356958956173,-0.026120469129195384,0.05432766057675167,0.08149315757003298
qc_cellular_tissue,QC cellular tissue,CD3,low_all_vs_zero_ISH_negative,57,18,0.057837023921754833,0.09322655196329224,-0.03538952804153741,0.01873209740133124,0.029971355842129982
qc_cellular_tissue,QC cellular tissue,CD3,low_all_vs_zero_ISH_not_evaluated,57,43,0.057837023921754833,0.08278139092148852,-0.024944366999733687,0.006347731577175709,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,CD3,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.05663891866891332,0.08278139092148852,-0.026142472252575204,0.007310066056481836,0.014620132112963672
qc_cellular_tissue,QC cellular tissue,CD3,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.05974310046036635,0.09322655196329224,-0.03348345150292589,0.09453195615525925,0.14899223304466988
qc_cellular_tissue,QC cellular tissue,CK,low_IHC1_any_ISH_vs_zero_all,35,61,0.18190242252232777,0.2452477538399927,-0.06334533131766493,0.0008794468355634166,0.005280464001591699
qc_cellular_tissue,QC cellular tissue,CK,low_IHC2_ISH_negative_vs_zero_all,22,61,0.2053430703614845,0.2452477538399927,-0.0399046834785082,0.1359931109684127,0.1530115470846354
qc_cellular_tissue,QC cellular tissue,CK,low_all_vs_zero_ISH_negative,57,18,0.1909496901093707,0.2399954733616971,-0.04904578325232639,0.031371073630313016,0.03585265557750059
qc_cellular_tissue,QC cellular tissue,CK,low_all_vs_zero_ISH_not_evaluated,57,43,0.1909496901093707,0.2474463828774187,-0.056496692768048,0.00450210326834178,0.00840090611968021
